Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testLongValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.LongValidator.getInstance; org.apache.commons.validator.routines.AbstractNumberValidator.isValid
commons-validator,org.apache.commons.validator.routines,PercentValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.PercentValidator
commons-validator,org.apache.commons.validator.routines,PercentValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFormatType) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.getFormatType; org.apache.commons.validator.routines.PercentValidator.getInstance
commons-validator,org.apache.commons.validator.routines,PercentValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testFormatType) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.getFormatType; org.apache.commons.validator.routines.PercentValidator.getInstance
commons-validator,org.apache.commons.validator.routines,RegexValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.RegexValidator
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.ShortValidator.validate; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractFormatValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Law of Demeter violation,The tool detected the smell in this method (testShortValidatorMethods) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.validator.routines.AbstractNumberValidator.isValid; org.apache.commons.validator.routines.ShortValidator.getInstance
commons-validator,org.apache.commons.validator.routines,TimeValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.TimeValidator
commons-validator,org.apache.commons.validator.routines,UrlValidatorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.UrlValidator
commons-validator,org.apache.commons.validator.routines.checkdigit,CASNumberCheckDigit,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines.checkdigit,ECNumberCheckDigit,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.CodeValidator
commons-validator,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.routines.checkdigit.CheckDigit
commons-validator,org.apache.commons.validator.util,FlagsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.validator.util.Flags
